Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Condition 1,Condition 2,Bldg Type,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice,Neighborhood_Blueste,Neighborhood_BrDale,Neighborhood_BrkSide,Neighborhood_ClearCr,Neighborhood_CollgCr,Neighborhood_Crawfor,Neighborhood_Edwards,Neighborhood_Gilbert,Neighborhood_Greens,Neighborhood_GrnHill,Neighborhood_IDOTRR,Neighborhood_Landmrk,Neighborhood_MeadowV,Neighborhood_Mitchel,Neighborhood_NAmes,Neighborhood_NPkVill,Neighborhood_NWAmes,Neighborhood_NoRidge,Neighborhood_NridgHt,Neighborhood_OldTown,Neighborhood_SWISU,Neighborhood_Sawyer,Neighborhood_SawyerW,Neighborhood_Somerst,Neighborhood_StoneBr,Neighborhood_Timber,Neighborhood_Veenker,House Style_1.5Unf,House Style_1Story,House Style_2.5Fin,House Style_2.5Unf,House Style_2Story,House Style_SFoyer,House Style_SLvl,House_Age_At_Sale,Quality_Area_Interaction,Age_Group
625,535105100,20,RL,68.0,-0.08223743371704001,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,5,1963,1963,Gable,CompShg,Plywood,Plywood,BrkFace,247.0,TA,TA,CBlock,Gd,TA,No,BLQ,609.0,Unf,0.0,785.0,1394.0,GasA,Gd,Y,SBrkr,1394,0,0,1394,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1963.0,RFn,2.0,514.0,TA,TA,Y,0,76,0,0,185,0,,,,0,7,2009,WD ,Normal,159000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,46,8364,Old
626,535125070,20,RL,80.0,0.5771375708045666,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,8,1966,2008,Gable,CompShg,MetalSd,MetalSd,BrkFace,210.0,TA,Gd,CBlock,TA,TA,No,ALQ,1387.0,Unf,0.0,175.0,1562.0,GasA,Gd,Y,SBrkr,1567,0,0,1567,1.0,0.0,2,0,2,1,Gd,5,Typ,2,Gd,Attchd,1966.0,Unf,2.0,542.0,TA,TA,Y,0,110,0,0,342,0,,GdWo,,0,7,2009,WD ,Normal,256000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,43,9402,Old
627,535125090,60,RL,85.0,0.43815477389385266,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,6,1965,1990,Gable,CompShg,HdBoard,HdBoard,BrkFace,176.0,TA,TA,CBlock,TA,TA,No,BLQ,454.0,Unf,0.0,314.0,768.0,GasA,TA,Y,SBrkr,1186,800,0,1986,0.0,0.0,2,1,3,1,TA,7,Typ,3,Fa,Attchd,1965.0,Unf,2.0,486.0,TA,TA,Y,0,42,0,0,189,0,,,,0,10,2009,WD ,Normal,205000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,44,13902,Old
628,535126010,60,RL,100.0,0.3619998166825025,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,6,1968,1968,Gable,CompShg,VinylSd,VinylSd,BrkFace,576.0,TA,Gd,CBlock,Gd,TA,No,Rec,448.0,Unf,0.0,448.0,896.0,GasA,TA,Y,SBrkr,1182,960,0,2142,0.0,0.0,2,1,4,1,Gd,8,Typ,1,Gd,Attchd,1968.0,Fin,1.0,509.0,TA,TA,Y,0,72,0,0,252,0,,,,0,6,2009,WD ,Normal,193500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,41,12852,Old
629,535126100,20,RL,120.0,0.4330777767464293,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,6,3,1968,1968,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,216.0,TA,TA,CBlock,Fa,Fa,No,Unf,0.0,Unf,0.0,1392.0,1392.0,GasA,Gd,Y,SBrkr,1392,0,0,1392,1.0,0.0,1,0,2,1,TA,5,Maj2,2,TA,Attchd,1968.0,RFn,2.0,576.0,TA,TA,Y,0,0,240,0,0,0,,,,0,7,2009,WD ,Normal,110000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,41,8352,Old
630,535150070,50,RL,68.0,0.3001873764126233,Pave,,IR1,Lvl,AllPub,FR2,Gtl,Feedr,Norm,1Fam,4,4,1920,2007,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,BrkTil,TA,Fa,No,Unf,0.0,Unf,0.0,715.0,715.0,GasA,Gd,Y,SBrkr,1281,457,0,1738,0.0,0.0,2,0,4,1,TA,7,Typ,1,Gd,Attchd,1920.0,Unf,1.0,368.0,TA,TA,Y,55,0,0,0,0,0,,,,0,6,2009,WD ,Normal,104900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,89,6952,Old
631,535151040,20,RL,73.0,-0.17616188094437185,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1956,1956,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,164.0,Gd,TA,CBlock,TA,TA,No,ALQ,856.0,Unf,0.0,313.0,1169.0,GasA,TA,Y,SBrkr,1144,0,0,1144,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1956.0,RFn,1.0,286.0,TA,TA,Y,257,0,0,0,0,0,,,,0,6,2009,WD ,Normal,150000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,53,5720,Old
632,535152230,20,RL,70.0,-0.22185485527118193,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,3,1957,1957,Hip,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,ALQ,189.0,Rec,661.0,628.0,1478.0,GasA,Gd,Y,SBrkr,1478,0,0,1478,1.0,0.0,1,1,3,1,TA,6,Typ,2,Gd,Attchd,1957.0,RFn,2.0,442.0,TA,TA,Y,114,0,0,0,216,0,,,,0,6,2009,WD ,Normal,156500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,52,8868,Old
633,535154060,20,RL,68.0,0.2712484926723102,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,7,6,1960,1960,Gable,CompShg,Plywood,Plywood,BrkFace,128.0,TA,TA,CBlock,TA,TA,No,BLQ,544.0,Unf,0.0,785.0,1329.0,GasA,Gd,Y,SBrkr,1329,0,0,1329,0.0,0.0,1,1,3,1,TA,5,Typ,2,Gd,Attchd,1960.0,Unf,2.0,441.0,TA,TA,Y,0,0,203,0,0,0,,,,0,8,2009,WD ,Normal,176000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,49,9303,Old
634,535154130,20,RL,66.0,-0.11523791517529174,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,8,1959,1998,Hip,CompShg,MetalSd,MetalSd,,0.0,Gd,TA,CBlock,TA,TA,No,ALQ,708.0,Unf,0.0,280.0,988.0,GasA,TA,Y,SBrkr,988,0,0,988,1.0,0.0,2,0,3,1,Gd,6,Typ,0,,Attchd,1959.0,Unf,1.0,297.0,TA,TA,Y,156,0,0,0,0,0,,,,0,6,2009,WD ,Normal,149500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,50,5928,Old
635,535175030,20,RL,80.0,-0.06954494084848165,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,6,6,1958,1988,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,183.0,TA,TA,CBlock,TA,TA,No,Rec,620.0,LwQ,620.0,0.0,1240.0,GasA,Gd,Y,SBrkr,1632,0,0,1632,1.0,0.0,2,0,3,1,TA,6,Min1,1,Gd,Attchd,1958.0,RFn,1.0,338.0,TA,TA,Y,289,0,0,0,0,0,,MnPrv,,0,4,2009,WD ,Normal,139000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,51,9792,Old
636,535175050,20,RL,66.0,0.28584485947115235,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Feedr,Norm,1Fam,6,7,1958,1998,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,176.0,TA,TA,CBlock,TA,Fa,No,Rec,585.0,Unf,0.0,630.0,1215.0,GasA,TA,Y,FuseA,1215,0,0,1215,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1958.0,Unf,1.0,297.0,TA,TA,Y,0,0,0,0,234,0,,,,0,6,2009,WD ,Normal,155000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,51,7290,Old
637,535178040,20,RL,70.0,-0.1774311302312277,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1956,1956,Gable,CompShg,BrkFace,BrkFace,,0.0,TA,TA,CBlock,TA,TA,No,Rec,435.0,BLQ,202.0,565.0,1202.0,GasA,TA,Y,SBrkr,1202,0,0,1202,0.0,1.0,1,0,3,1,TA,6,Typ,0,,Attchd,1956.0,RFn,1.0,304.0,TA,TA,Y,0,35,120,0,0,0,,GdWo,,0,11,2009,COD,Abnorml,120000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,53,6010,Old
638,535178120,20,RL,70.0,-0.1774311302312277,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1955,1955,Gable,CompShg,AsbShng,AsbShng,,0.0,TA,TA,CBlock,TA,TA,No,Rec,172.0,LwQ,483.0,727.0,1382.0,GasA,Gd,Y,FuseA,1382,0,0,1382,0.0,1.0,1,0,3,1,Gd,6,Typ,0,,Attchd,1955.0,Unf,1.0,350.0,TA,TA,Y,280,0,0,0,0,0,,GdWo,,0,7,2009,WD ,Normal,153000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,54,6910,Old
639,535179160,20,RL,80.0,0.03199500209998521,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,4,5,1956,1956,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,Rec,155.0,LwQ,750.0,295.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200,1.0,0.0,1,0,3,1,TA,6,Typ,2,Gd,Attchd,1956.0,Unf,1.0,294.0,TA,TA,Y,0,189,140,0,0,0,,,,0,11,2009,WD ,Family,144000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,53,4800,Old
640,535300120,80,RL,120.0,1.1611191676869366,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,6,5,1962,1962,Gable,CompShg,Wd Sdng,Wd Sdng,BrkFace,399.0,TA,TA,CBlock,TA,TA,Gd,Rec,672.0,ALQ,690.0,0.0,1362.0,GasA,TA,Y,SBrkr,1382,0,0,1382,1.0,0.0,1,0,3,1,TA,6,Typ,1,TA,Attchd,1991.0,Unf,2.0,884.0,TA,TA,Y,0,0,252,0,0,0,,GdWo,,0,5,2009,WD ,Normal,176000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,47,8292,Old
641,535301170,20,RL,74.0,-0.2051007646846849,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1954,1990,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,650.0,TA,TA,CBlock,TA,TA,No,Rec,1213.0,Unf,0.0,84.0,1297.0,GasA,Gd,Y,SBrkr,1297,0,0,1297,0.0,1.0,1,0,3,1,TA,5,Typ,1,TA,Attchd,1954.0,Fin,2.0,498.0,TA,TA,Y,0,0,0,0,0,0,,,,0,10,2009,WD ,Normal,153000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,55,6485,Old
642,535302120,90,RL,76.0,-0.08452208243338051,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,Duplex,5,4,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,657.0,TA,TA,PConc,TA,TA,No,Unf,0.0,Unf,0.0,1866.0,1866.0,GasA,Ex,Y,SBrkr,1866,0,0,1866,0.0,0.0,2,0,4,2,TA,8,Typ,0,,Detchd,1958.0,Unf,2.0,495.0,TA,Fa,Y,0,0,0,0,0,0,,,,0,12,2009,WD ,Normal,135000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,51,9330,Old
643,535303110,20,RL,53.0,-0.25637843587366066,Pave,,IR1,Lvl,AllPub,CulDSac,Gtl,Norm,Norm,1Fam,6,7,1954,1954,Hip,CompShg,MetalSd,MetalSd,BrkFace,80.0,TA,TA,CBlock,TA,TA,No,ALQ,490.0,Unf,0.0,572.0,1062.0,GasA,Gd,Y,SBrkr,1062,0,0,1062,1.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1954.0,Unf,1.0,297.0,TA,TA,Y,0,0,0,0,0,0,,,,0,2,2009,WD ,Normal,131000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,55,6372,Old
644,535303150,20,RL,79.0,0.061695435412411764,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1953,1953,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,PConc,TA,TA,No,BLQ,428.0,LwQ,180.0,0.0,608.0,GasA,TA,Y,SBrkr,1319,0,0,1319,1.0,0.0,1,0,3,1,TA,5,Min2,0,,Attchd,1953.0,Unf,1.0,270.0,TA,TA,Y,66,0,0,0,0,0,,GdWo,,0,11,2009,WD ,Normal,123000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,56,6595,Old
645,535304100,20,RL,67.0,0.37088456169049333,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,5,1951,1951,Hip,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Rec,308.0,Unf,0.0,323.0,631.0,GasA,TA,Y,FuseA,1112,0,0,1112,0.0,0.0,1,0,2,1,TA,5,Typ,0,,Basment,1951.0,Unf,2.0,480.0,TA,TA,Y,0,0,0,0,255,0,,,,0,10,2009,WD ,Normal,126000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,58,5560,Old
646,535325290,20,RL,60.0,0.03631044967529505,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1955,1955,Gable,CompShg,Plywood,Plywood,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,1005.0,1005.0,GasA,TA,Y,SBrkr,1005,0,0,1005,0.0,0.0,1,0,2,1,Fa,5,Typ,1,TA,Detchd,1977.0,Unf,2.0,672.0,Fa,Fa,Y,0,0,0,0,0,0,,,,0,11,2009,WD ,Normal,115000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,54,4020,Old
647,535351050,20,RL,75.0,0.5598757805033273,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1951,2000,Hip,CompShg,Wd Sdng,Wd Sdng,BrkCmn,70.0,Gd,TA,CBlock,TA,TA,No,BLQ,650.0,Rec,180.0,178.0,1008.0,GasA,Ex,Y,SBrkr,1363,0,0,1363,1.0,0.0,1,0,2,1,TA,6,Min1,2,TA,CarPort,1951.0,Unf,1.0,288.0,TA,TA,Y,324,42,0,0,168,0,,,Shed,2000,6,2009,WD ,Normal,164900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,58,6815,Old
648,535352090,30,RL,80.0,-0.21170086097633525,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,5,6,1945,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,Gd,CBlock,TA,TA,No,BLQ,700.0,Unf,0.0,93.0,793.0,GasA,TA,Y,SBrkr,793,0,0,793,1.0,0.0,1,0,2,1,Fa,4,Typ,0,,Detchd,1945.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,,,,0,8,2009,WD ,Normal,113000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,64,3965,Old
649,535353040,20,RL,60.0,-0.3200947500738236,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,8,1952,2005,Hip,CompShg,Wd Sdng,Wd Sdng,,0.0,Gd,TA,CBlock,TA,TA,No,GLQ,931.0,Unf,0.0,100.0,1031.0,GasA,Gd,Y,SBrkr,1031,0,0,1031,1.0,0.0,1,0,2,1,Gd,5,Typ,0,,Attchd,1952.0,Unf,1.0,230.0,TA,TA,Y,0,0,0,0,0,0,,MnPrv,,0,3,2009,WD ,Normal,145500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,57,5155,Old
650,535353060,20,RL,75.0,-0.07804891107041576,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,5,1953,1953,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,140.0,TA,TA,Slab,,,,,0.0,,0.0,0.0,0.0,GasA,TA,Y,FuseA,1210,0,0,1210,0.0,0.0,1,1,2,1,TA,7,Typ,0,,Attchd,1953.0,Fin,1.0,616.0,TA,TA,Y,208,0,100,0,0,0,,MnPrv,,0,8,2009,ConLD,Normal,102900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,56,6050,Old
651,535353140,190,RL,107.0,0.059283861767385676,Pave,,IR1,Bnk,AllPub,Corner,Mod,Artery,Artery,2fmCon,3,5,1900,1970,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Fa,TA,Mn,BLQ,440.0,Unf,0.0,538.0,978.0,GasA,TA,Y,SBrkr,1014,685,0,1699,1.0,0.0,2,0,3,2,TA,7,Typ,0,,CarPort,1920.0,Unf,2.0,420.0,Fa,Fa,Y,0,74,0,0,0,0,,,,0,8,2009,WD ,Abnorml,95000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,109,5097,Old
652,535353240,60,RL,78.0,0.16133150443059485,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Artery,Norm,1Fam,7,7,1948,1999,Gable,CompShg,WdShing,Wd Shng,,0.0,TA,TA,CBlock,TA,TA,Mn,ALQ,699.0,Unf,0.0,0.0,699.0,GasA,Ex,Y,FuseA,801,726,0,1527,1.0,0.0,1,1,3,1,TA,6,Typ,1,Gd,Attchd,1948.0,Unf,2.0,410.0,TA,TA,Y,0,0,134,0,0,0,,GdWo,,0,12,2009,WD ,Normal,152500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,61,10689,Old
653,535354070,20,RL,60.0,-0.06954494084848165,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,6,1950,1950,Gable,CompShg,Wd Sdng,Wd Sdng,,0.0,TA,TA,CBlock,TA,TA,No,BLQ,390.0,Unf,0.0,810.0,1200.0,GasA,TA,Y,SBrkr,1200,0,0,1200,0.0,0.0,1,0,3,1,TA,6,Typ,0,,Attchd,1950.0,Fin,1.0,246.0,TA,TA,Y,126,0,0,0,0,0,,GdWo,,0,8,2009,WD ,Normal,129900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,59,6000,Old
654,535354100,20,RL,50.0,-0.2726248267454154,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,6,6,1948,2002,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,CBlock,TA,TA,No,ALQ,680.0,Unf,0.0,292.0,972.0,GasA,Ex,Y,SBrkr,972,0,0,972,1.0,0.0,1,0,2,1,TA,5,Typ,1,Gd,Detchd,1948.0,Unf,1.0,240.0,TA,TA,Y,0,0,0,0,0,0,,,,0,5,2009,WD ,Normal,132000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,61,5832,Old
655,535375010,20,RL,53.0,-0.5937448963199418,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,3,5,1958,1958,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,CBlock,TA,TA,No,Unf,0.0,Unf,0.0,792.0,792.0,GasA,Gd,Y,FuseA,792,0,0,792,0.0,0.0,1,0,2,1,TA,4,Typ,0,,Attchd,1958.0,Unf,1.0,366.0,Fa,TA,Y,0,90,0,0,0,0,,,,0,8,2009,WD ,Normal,99900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,51,2376,Old
656,535375050,50,RL,60.0,0.03326425138684104,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1916,1987,Gable,CompShg,HdBoard,HdBoard,,0.0,TA,TA,CBlock,Fa,TA,No,Unf,0.0,Unf,0.0,660.0,660.0,GasA,Ex,Y,SBrkr,808,704,144,1656,0.0,0.0,2,1,3,1,TA,8,Min2,0,,Detchd,1916.0,Unf,1.0,180.0,Fa,Fa,N,0,0,0,140,0,0,,MnPrv,,0,8,2009,WD ,Normal,135000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,93,8280,Old
657,535376060,60,RL,60.0,0.08276497357421864,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1939,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,TA,Gd,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,676.0,676.0,GasA,Ex,Y,SBrkr,676,676,0,1352,0.0,1.0,2,0,4,1,Gd,7,Typ,0,,Detchd,1939.0,Unf,2.0,720.0,TA,TA,Y,187,0,128,0,0,0,,,,0,8,2009,WD ,Normal,149000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,70,6760,Old
658,535377150,70,RL,80.0,-0.2540937871573202,Pave,,Reg,Lvl,AllPub,Corner,Gtl,Norm,Norm,1Fam,4,8,1900,2003,Gable,CompShg,MetalSd,MetalSd,,0.0,Gd,Gd,BrkTil,Fa,TA,No,Unf,0.0,Unf,0.0,405.0,405.0,GasA,Gd,Y,SBrkr,717,322,0,1039,0.0,0.0,1,0,2,1,TA,6,Typ,0,,Detchd,1940.0,Unf,1.0,281.0,TA,TA,N,0,0,168,0,111,0,,,,0,5,2009,WD ,Normal,114000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,109,4156,Old
659,535378020,30,RL,52.0,-0.14290754962874896,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,8,1924,2006,Gable,CompShg,VinylSd,VinylSd,,0.0,Gd,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,768.0,768.0,GasA,Ex,Y,SBrkr,792,0,0,792,0.0,0.0,1,0,2,1,Gd,5,Typ,0,,Detchd,1924.0,Unf,1.0,240.0,Fa,Fa,N,316,0,120,0,0,0,,,,0,5,2009,WD ,Normal,109500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,85,3960,Old
660,535378120,30,RL,60.0,0.010417764223436,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,5,7,1925,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1054.0,1054.0,GasA,Ex,Y,SBrkr,1078,0,0,1078,0.0,0.0,1,0,3,1,Ex,6,Typ,0,,Detchd,1987.0,Unf,1.0,264.0,TA,TA,N,0,0,0,0,112,0,,GdWo,,0,12,2009,WD ,Normal,125000.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,False,84,5390,Old
661,535381040,50,RL,60.0,0.03326425138684104,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,Norm,Norm,1Fam,4,5,1915,1950,Gable,CompShg,MetalSd,MetalSd,,0.0,TA,TA,BrkTil,TA,TA,No,Unf,0.0,Unf,0.0,1313.0,1313.0,GasA,TA,Y,SBrkr,1313,0,1064,2377,0.0,0.0,2,0,3,1,Gd,8,Min2,1,TA,Detchd,1954.0,Unf,2.0,528.0,TA,TA,Y,0,0,432,0,0,0,,,,0,6,2009,WD ,Normal,142900.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,94,9508,Old
